단어	Noun	15.799525519527279	10.0
추출	Noun	4.2487027933104144	10.0
있다	Adjective	3.4571654360080495	10.0
분석	Noun	2.9014140005551052	10.0
문서	Noun	2.880536781130387	10.0
기반	Noun	2.7888458051264213	10.0
한국어	Noun	2.654256351979765	10.0
사용	Noun	2.6013156458118605	10.0
표현	Noun	2.525392613862564	10.0
등장	Noun	2.336757034648675	10.0
투자	Noun	3.7663482524279606	24.0
투자자	Noun	1.3007847021822938	24.0
보통	Noun	1.2477477865711029	24.0
회사	Noun	1.146093283113336	24.0
목적	Noun	1.0618732874594472	24.0
목표	Noun	1.0448601893006972	24.0
경영	Noun	0.9701010128795554	24.0
차익	Noun	0.8982266553929029	24.0
임원	Noun	0.8184193192773862	24.0
재무	Noun	0.8093843441883166	24.0
있다	Adjective	3.051074423899283	18.0
기술	Noun	2.725296751987274	18.0
사업	Noun	1.8855710965176575	18.0
혁신	Noun	1.814506388437024	18.0
변호사	Noun	1.4597592804872508	18.0
많다	Adjective	1.1236435470276174	18.0
창업	Noun	0.9968528472497281	18.0
기업	Noun	0.9841303946155748	18.0
결정	Noun	0.9228869906470403	18.0
의장	Noun	0.9146044799604947	18.0
있다	Adjective	1.856371249722093	19.0
연결	Noun	1.4242079109041592	19.0
노드	Noun	0.9037604266692614	19.0
추천	Noun	0.8833106220573945	19.0
임베딩	Noun	0.8764908294600843	19.0
그래프	Noun	0.8430889781762237	19.0
기반	Noun	0.6167696049506117	19.0
방식	Noun	0.5960003780601726	19.0
사용	Noun	1.3712293359647139	10.0
의존	Noun	1.1091725251779265	10.0
있다	Adjective	0.9676798983267187	10.0
설치	Noun	0.5519182405306411	10.0
이미지	Noun	1.5612477651060352	12.0
가능	Noun	1.3674973741264416	12.0
부분	Noun	1.241625248255632	12.0
강의	Noun	1.0965211870952092	12.0
조지	Noun	0.9843159942615897	12.0
크기	Noun	0.9585793531330907	12.0
사용	Noun	0.9360040727929757	12.0
오픈소스	Noun	0.8726802816982446	12.0
알고리듬	Noun	0.8486036056868468	12.0
라이브러리	Noun	0.8302971825405505	12.0
스타일	Noun	1.873654144167543	2.0
있다	Adjective	1.7032572895736018	2.0
컴포넌트	Noun	1.6116431616625193	2.0
메인	Noun	1.569992532790287	2.0
재사용	Noun	1.2626282998659155	2.0
구조	Noun	1.1443953709144115	2.0
사용	Noun	1.0331794120564586	2.0
없다	Adjective	0.9342124624152445	2.0
우리	Noun	0.7580664695095832	2.0
간단하다	Adjective	0.7508482151568194	2.0
통해	Noun	0.15000000000000002	38.0
함수	Noun	6.441358279935664	27.0
같다	Adjective	2.5349224853841283	27.0
렌더링	Noun	2.4809710914533465	27.0
참조	Noun	1.7879678083884056	27.0
반환	Noun	1.6751161641671781	27.0
있다	Adjective	1.6428076484497356	27.0
아니다	Adjective	1.4325044524151558	27.0
메모	Noun	1.4174539406689624	27.0
사용	Noun	1.4133183132597784	27.0
컴포넌트	Noun	1.4074126825243356	27.0
있다	Adjective	1.6348354510804781	21.0
필요하다	Adjective	1.5938370500881227	21.0
적용	Noun	1.5405920828864788	21.0
없다	Adjective	1.461915809796957	21.0
활용	Noun	1.250774147990299	21.0
사용	Noun	1.2175274575465918	21.0
할당	Noun	1.1766940442548708	21.0
필요	Noun	1.16855734148763	21.0
컴포넌트	Noun	1.139513517743108	21.0
측정	Noun	1.005753400117848	21.0
어떻다	Adjective	1.0	1.0
렌더링	Noun	1.0	1.0
단어	Noun	6.118255514965578	76.0
검색	Noun	2.2003169182294537	76.0
있다	Adjective	2.1203758514177182	76.0
관계	Noun	1.5527927200977767	76.0
활용	Noun	1.467270810001359	76.0
사용	Noun	1.4381635037108853	76.0
러닝	Noun	1.115876232468144	76.0
처리	Noun	1.1098516129900848	76.0
알고리즘	Noun	1.0756212287196798	76.0
효율	Noun	1.006673952467226	76.0
있다	Adjective	4.933884528491863	5.0
사용	Noun	4.52989155430621	5.0
출력	Noun	4.048637867898767	5.0
파일	Noun	3.778452189338734	5.0
메서드	Noun	3.6003426198699686	5.0
반환	Noun	3.433422817072841	5.0
경로	Noun	3.0135985382205135	5.0
파이썬	Noun	2.6388016014818634	5.0
같다	Adjective	2.63061972637697	5.0
가능	Noun	2.6170219731219415	5.0
관찰	Noun	1.4473684210494522	6.0
렌더	Noun	0.776315789475274	6.0
대상	Noun	0.776315789475274	6.0
있다	Adjective	1.0	3.0
사용	Noun	2.812013146517937	3.0
데이터	Noun	2.193536708605342	3.0
해당	Noun	1.7728630765910474	3.0
컴포넌트	Noun	1.6987857432474454	3.0
방법	Noun	1.6219201688597225	3.0
다른	Noun	1.4315549277211983	3.0
있다	Adjective	1.0044267812063339	3.0
좋다	Adjective	0.9731073409791755	3.0
번만	Noun	0.9532246391444928	3.0
결정	Noun	0.9405711121277456	3.0
접근	Noun	2.209085367192518	17.0
사용	Noun	1.7270734856336905	17.0
대해	Noun	1.601175977246574	17.0
있다	Adjective	1.5571281733311784	17.0
가능	Noun	1.5204821080302797	17.0
디버깅	Noun	1.4343822143811624	17.0
상태	Noun	1.3418699459695604	17.0
다만	Noun	1.1899180136326675	17.0
실행	Noun	1.1777240576386983	17.0
좋다	Adjective	1.1768390645579871	17.0
이벤트	Noun	3.149190977634011	1.0
함수	Noun	2.670334118562532	1.0
있다	Adjective	2.6315215878417884	1.0
내부	Noun	2.516593848333152	1.0
사용	Noun	2.248468647349798	1.0
선택	Noun	1.6845937089826002	1.0
버블	Noun	1.6396346597988245	1.0
일반	Noun	1.5839815889941353	1.0
동작	Noun	1.3814855991061838	1.0
